month,gross_return,turnover,holdings,net_return,exposure,risk_managed_return,benchmark_return,strategy_nav,risk_managed_nav,benchmark_nav
2014-02-28,0.051108350232983914,1.0,183,0.04910835023298391,1.0,0.04910835023298391,-0.01066136246279159,1.0491083502329839,1.0491083502329839,0.9893386375372084
2014-03-31,-0.02385930815797724,0.6292134831460674,178,-0.025117735124269375,1.0,-0.025117735124269375,-0.014991239342975637,1.0227571245751725,1.0227571245751725,0.9745072252306347
2014-04-30,-0.003303327272259325,0.7833333333333333,180,-0.004869993938925991,1.0,-0.004869993938925991,0.005758061959216132,1.017776303577498,1.017776303577498,0.9801184982132165
2014-05-31,0.039128647485917566,0.6971428571428571,175,0.03773436177163185,1.0,0.03773436177163185,-0.0010159576440122997,1.0561814428192857,1.0561814428192857,0.9791227393329189
2014-06-30,0.0777390935049631,0.6206896551724138,174,0.07649771419461826,1.0,0.07649771419461826,0.004013323477676911,1.136976908969735,1.136976908969735,0.983052275610211
2014-07-31,0.08330977161460783,0.6114285714285714,175,0.08208691447175069,1.0,0.08208691447175069,0.08550698718728822,1.230307835252689,1.230307835252689,1.067110113945248
2014-08-31,0.07131295079553414,0.6927374301675977,179,0.06992747593519895,1.0,0.06992747593519895,-0.005092029077103932,1.316340156795208,1.316340156795208,1.061676358216567
2014-09-30,0.154450906254854,0.5674157303370786,178,0.15331607479417983,1.0,0.15331607479417983,0.0481990890944739,1.5181562627290044,1.5181562627290044,1.1128481915957438
2014-10-31,0.024847066196197934,0.4943820224719101,178,0.023858302151254115,0.7827694473621464,0.018675549989936292,0.023392126080326703,1.5543768935580118,1.5465086659061347,1.138880076801815
2014-11-30,0.08499169090965732,0.5606936416184971,173,0.08387030362642033,0.8206365079795919,0.06882703309117368,0.11980041313594092,1.6847429555706144,1.6529502690302431,1.2753183805149646
2014-12-31,-0.028864801835465213,0.5885714285714285,175,-0.03004194469260807,0.8524410444237842,-0.025608986710288384,0.2580738492503427,1.6341300008781008,1.6106198875578799,1.6044447039941747
2015-01-31,0.09467801672959493,0.7191011235955056,178,0.09323981448240391,0.7939892475843785,0.07403141014579093,-0.028105284815071574,1.7864959790001054,1.7298563490426448,1.5593513286183853
2015-02-28,0.07814348257313496,0.6647727272727273,176,0.0768139371185895,0.8065287941279898,0.06195265207647922,0.040315064557805425,1.9237237687936324,1.8370255375771725,1.6222166780999352
2015-03-31,0.22630088094129638,0.5581395348837209,172,0.22518460187152894,0.7988825202897021,0.1798960422735602,0.1338859623360893,2.3569167397802238,2.167499161342765,1.839408719164999
2015-04-30,0.16937623988835493,0.5921787709497206,179,0.1681918823464555,0.6385298942348024,0.10739554484583456,0.1724587478016173,2.7533310027777307,2.400278914728061,2.1566308435675716
2015-05-31,0.2331248511829227,0.6101694915254237,177,0.23190451219987185,0.6374797765047275,0.14783443660761217,0.01914839030461013,3.3918408859016846,2.7551227957880147,2.197926852703164
2015-06-30,-0.0782492740386922,0.5909090909090908,176,-0.07943109222051038,0.5605413012678744,-0.044524407794413426,-0.07598380553772943,3.12242325969633,2.6324525849046645,2.030920006141213
2015-07-31,-0.1475007847677964,0.6744186046511628,172,-0.14884962197709872,0.46186995587096125,-0.06874916833397185,-0.1467247469816111,2.657651737838031,2.4514736590138546,1.7329337821002515
2015-08-31,-0.13822895991907974,0.7756410256410257,156,-0.1397802419703618,0.3708662377312685,-0.051839772448714426,-0.117945642185462,2.2861645348500788,2.324389822366559,1.528541794305556
2015-09-30,-0.002412413436057377,0.7619047619047619,168,-0.003936222959866901,0.32837289499171846,-0.0012925489286643652,-0.048592246562745633,2.2771656815179684,2.3213854347918605,1.4542665145551987
2015-10-31,0.23083772292447305,0.6923076923076923,169,0.22945310753985768,0.3357365653289232,0.07703579822947987,0.10338210834777173,2.7996684235253837,2.5002152147593395,1.6046116529294807
2015-11-30,0.1089929280226417,0.6094674556213018,169,0.1077739931113991,0.31018363108622216,0.033429728519955265,0.009148474643989157,3.1013998689166096,2.5837967306302057,1.6192914019497555
2015-12-31,0.07396537196693392,0.6358695652173914,184,0.07269363283649914,0.30894791299337615,0.022458546152743168,0.04615130376430088,3.3268518922668,2.641825048754371,1.6940238113240593
2016-01-31,-0.2997250373343187,0.7193877551020409,196,-0.3011638128445228,0.31559472059542876,-0.09504570936812118,-0.2103769471011261,2.3249244916227148,2.3907309129690404,1.3376402535810896
2016-02-29,-0.018518932560658855,0.6134020618556701,194,-0.019745736684370196,0.24966177375334067,-0.004929755644686271,-0.023292564944027316,2.2790171448000893,2.3789451937559054,1.306483181102807
2016-03-31,0.23137718633665064,0.6052631578947368,190,0.23016666002086117,0.2493698618315653,0.05739662820763501,0.11837509738639529,2.803570909149005,2.5154886265682532,1.4611382548995393
2016-04-30,-0.007885824435008687,0.5765306122448979,196,-0.009038885659498482,0.24862797959602906,-0.0022473198793206283,-0.019059376988580623,2.778229752262911,2.5098355189715615,1.4332898700669723
2016-05-31,-0.0075757404757057795,0.5585106382978724,188,-0.008692761752301523,0.2566641850849454,-0.002231120611292052,0.004060587936942195,2.754079262933334,2.5042357732142313,1.4391098696235076
2016-06-30,0.0734106687496586,0.47089947089947093,189,0.07246886980785966,0.2809077149789242,0.020357064624831007,-0.004935973550279749,2.9536642744793764,2.555214662685367,1.4320064613710994
2016-07-31,-2.894041007740802e-05,0.5743589743589743,195,-0.0011776583587953565,0.2815516650314584,-0.00033157167175704725,0.01585493400473692,2.9501858670574608,2.5543674258879623,1.4547108293104951
2016-08-31,0.05876178196256794,0.6161616161616161,198,0.05752945873024471,0.29675363691142964,0.017072076107746116,0.038661427192875575,3.119908463142894,2.597975780989869,1.5109520261245704
2016-09-30,-0.0009539667268386012,0.6813725490196079,204,-0.002316711824877817,0.3154992559967534,-0.0007309208571078321,-0.02239116628887794,3.1126805343137947,2.5960768663052827,1.4771200480530982
2016-10-31,0.06276268728084895,0.645,200,0.06147268728084895,0.3155947848121776,0.019400459514225813,0.02551043704430156,3.304025371404852,2.6464419504458565,1.5148020260458324
2016-11-30,0.04831047541852931,0.6281407035175879,199,0.04705419401149413,0.3505514065911536,0.016494913896742302,0.06046392275827128,3.459493622249835,2.6900947825511876,1.6063928987427405
2016-12-31,-0.06112962977301333,0.6601941747572815,206,-0.062450018122527894,0.358184816922569,-0.022368648308028767,-0.06442087219643233,3.243448182845563,2.629920998445037,1.5029076671155779
2017-01-31,-0.04881613431079182,0.6029411764705883,204,-0.050022016663732995,0.35643581374680694,-0.017829638214794007,0.023529404490422623,3.0812043637953077,2.5830304585092723,1.5382701895268978
2017-02-28,0.046340162867942104,0.5517241379310345,203,0.045236714592080035,0.5581491685921351,0.02524883463940918,0.01914308691224642,3.2205879262001873,2.64824896742473,1.5677174294595289
2017-03-31,-0.015271713727914946,0.558252427184466,206,-0.016388218582283877,0.5672604650213388,-0.009296388493857697,0.0009380692161418125,3.1678082273021544,2.623629816195092,1.5691880569197139
2017-04-30,-0.06946983693123451,0.5714285714285714,210,-0.07061269407409165,0.9694269132257485,-0.06845384605080078,-0.004715421076760151,2.944120754062277,2.4440322646629826,1.5617886744827143
2017-05-31,-0.09127029478445196,0.5980392156862745,204,-0.09246637321582452,0.8596908919920595,-0.07949249886918286,0.015446886639356894,2.6718885856247,2.249750032628014,1.5859134470920802
2017-06-30,0.05696047587335152,0.5095238095238095,210,0.0559414282543039,0.7486086488085912,0.04187823701787719,0.049791711514416415,2.8213578492409175,2.3439655977253873,1.6648787919365227
2017-07-31,-0.015105660722670512,0.6186046511627907,215,-0.016342870024996094,0.7717853963940173,-0.012613188420457515,0.019384480377899305,2.7752487646167707,2.3144007179902064,1.697151602210397
2017-08-31,0.05499910216755748,0.6129032258064516,217,0.05377329571594458,0.7698395416536492,0.04139680932716892,0.022529140166687833,2.9244830371218185,2.4102095232195095,1.7353869685407137
2017-09-30,0.013060547445021883,0.5357142857142857,224,0.011989118873593312,0.7748249202080856,0.009289468074597192,0.003769893689126169,2.9595450118976787,2.4325990876385473,1.7419291929216072
2017-10-31,-0.00836858323510246,0.5482456140350878,228,-0.009465074463172636,0.7722032654488538,-0.007308961408178466,0.044370121811646346,2.9315326979829557,2.414819314785427,1.8192188033988017
2017-11-30,-0.07734374628396756,0.5764192139737991,229,-0.07849658471191516,0.8278905071979152,-0.06498657733045156,-0.00015553861450001705,2.7014173932199874,2.257888472646056,1.8189358446266486
2017-12-31,-0.018687777396289833,0.5508474576271186,236,-0.01978947231154407,0.8215940265339038,-0.016258912239422694,0.006177418132752077,2.647957768514937,2.2211776621228996,1.830172171895558
2018-01-31,-0.026221769769929355,0.5127118644067796,236,-0.027247193498742914,0.8503216067990236,-0.023168877356614985,0.0607904200483238,2.575808350819711,2.1697154692819214,1.941429106985842
2018-02-28,-0.04218293211438437,0.5625,240,-0.04330793211438437,0.8671207897073763,-0.037553208295618416,-0.0589949465566848,2.4642554176227467,2.088235692321752,1.82689460057562
2018-03-31,0.08933837300525176,0.5770925110132159,227,0.08818418798322532,0.9234120144425055,0.08143033866756667,-0.03110067833558061,2.681563780609072,2.258281431965213,1.7700769392501086
2018-04-30,-0.033858563133693106,0.6625514403292181,243,-0.03518366601435154,0.7656396689572645,-0.026938010399931076,-0.03632640142057031,2.5872165361559407,2.1974478232649632,1.7057764138096148
2018-05-31,0.009898095825389521,0.5778688524590163,244,0.008742358120471489,0.8002789544966079,0.006996325216485854,0.012106951091699125,2.609834909650222,2.2128218828827837,1.7264281654249818
2018-06-30,-0.09480118141413744,0.6071428571428572,252,-0.09601546712842315,0.912445908266907,-0.08760892011166542,-0.0766336028869925,2.35925039167209,2.0189589473239606,1.5941257549828847
2018-07-31,0.008337422453272392,0.5776892430278884,251,0.007182043967216616,0.8483978246376112,0.006093230478238255,0.0019036905188696274,2.376194631714752,2.031260929516107,1.5971604770685315
2018-08-31,-0.10649239850413152,0.6269230769230769,260,-0.10774624465797766,0.8428553961585665,-0.0908145037257976,-0.05206863127695982,2.1201685835710413,1.8467929762644992,1.5139985170979169
2018-09-30,-0.014920668983105756,0.5378787878787878,264,-0.01599642655886333,0.8051272238049044,-0.012879158506136674,0.031298879206058006,2.0862534625315377,1.823007836795169,1.5613849738027155
